SUBURB,LOC_PID,Centroid_Latitude,Centroid_Longitude
KENNETT RIVER,VIC1320,-38.639357954644986,143.80654422047337
DANDENONG SOUTH,VIC707,-38.0164275512245,145.21167176882648
DANDENONG,VIC705,-37.983191440610966,145.2258097948958
MURRAWEE,VIC1838,-35.30088051897436,143.51653679076924
EVERSLEY,VIC886,-37.180794563943664,143.1757485696831
GREY RIVER,VIC1103,-38.67991562029411,143.83603740529412
ELMHURST,VIC854,-37.17700220854367,143.24125879333974
PETTICOAT CREEK,VIC2059,-38.71594432683545,143.73221426481012
HARMERS HAVEN,VIC1132,-38.65582663441175,145.5783075004411
TERRICK TERRICK EAST,VIC2494,-36.09693746673388,144.31322932344767
CAMPBELLS BRIDGE,VIC456,-36.9513600343132,142.8506369482418
BARFOLD,VIC136,-37.093852460459885,144.53304833188417
LYNBROOK,VIC1549,-38.06533836804121,145.26058899721644
GLENAROUA,VIC1009,-37.13179123492021,144.93922260840418
YEA,VIC2925,-37.27288813485222,145.4351104531156
MURRINDINDI,VIC1843,-37.32932361032967,145.49465704586075
ASHWOOD,VIC77,-37.86462512911765,145.10178227235298
LONGWARRY NORTH,VIC1534,-38.08094485132654,145.78211879258515
JAM JERRUP,VIC1245,-38.33778877782124,145.53415138083798
WULGULMERANG,VIC2871,-37.03311277350649,148.32672259479065
WULGULMERANG EAST,VIC2872,-37.09129585862561,148.34314016824624
BRUMBY,VIC360,-37.008258937515414,147.99260020542724
SOLDIERS HILL,VIC2307,-37.55191582553572,143.8588822842857
SWAN REACH,VIC2412,-37.82232877036269,147.8604093174611
FERNY CREEK,VIC910,-37.87484315858695,145.3376692906522
CAIRNLEA,VIC441,-37.764790797784016,144.7999283657984
TYRRELL,VIC2607,-35.43060048173077,142.9895267953846
DALES CREEK,VIC699,-37.52147717718749,144.303313275625
BAMBRA,VIC126,-38.3681051646565,143.95059149450393
MAIN LEAD,VIC1572,-37.38676109518073,143.37683417602406
CLOVERLEA,VIC576,-38.24134054915093,145.98973747735846
PATYAH,VIC2044,-36.89377126928571,141.27927451821427
MORTLAKE,VIC1761,-38.05165401317932,142.6892752369747
QUAMBATOOK,VIC2127,-35.7944294912386,143.59159541182532
WESTMEADOWS,VIC2764,-37.6736666013016,144.894783943238
TYNTYNDER SOUTH,VIC2604,-35.275847754411764,143.5118400188236
NEILBOROUGH,VIC1908,-36.575232400465104,144.27396194244184
PATTERSON LAKES,VIC2043,-38.06914895305262,145.13819565326327
NOORINBEE,VIC1953,-37.542003880446906,149.2028393376536
AIRPORT WEST,VIC14,-37.7249822598969,144.88606513731963
ABERFELDIE,VIC3,-37.758387183585874,144.89371529823234
PENTLAND HILLS,VIC2054,-37.65819558456868,144.37965361886583
SEAFORD,VIC2253,-38.106809077630025,145.12464535104013
BEULAH,VIC231,-35.8995122925397,142.416079123492
KINNABULLA,VIC1361,-35.89988207565219,142.7229615845652
NANGANA,VIC1868,-37.866836144292655,145.5298559881972
MARYKNOLL,VIC1613,-38.032592531315785,145.60021748026318
AIRLY,VIC13,-38.02109081953757,147.10209152173417
LAMPLOUGH,VIC1447,-37.134689341199994,143.50221496533328
BELLBIRD CREEK,VIC194,-37.629150361964285,148.81147059035717
REDAN,VIC2148,-37.57665075945652,143.84407524706526
GOUGHS BAY,VIC1068,-37.17524739654796,146.06416202967102
MYRTLEFORD,VIC1859,-36.57629670090023,146.7223697063013
BUCKLAND,VIC368,-36.85799093574787,146.84485037219267
MOUNT PLEASANT,VIC1802,-37.581903886017706,143.85148372690261
MOUNT BUFFALO,VIC1771,-36.74796250127707,146.82546534554112
MALLACOOTA,VIC1579,-37.55367612717882,149.76259993491888
BARWON DOWNS,VIC160,-38.48807936910046,143.75128348378493
LALBERT,VIC1445,-35.664514099310374,143.3957525140689
APSLEY,VIC51,-36.98569928396948,141.09189821908402
CALIFORNIA GULLY,VIC444,-36.73198454040203,144.2528064561809
SIDONIA,VIC2285,-37.15501219125506,144.5509165298382
CLARINDA,VIC564,-37.94297054932202,145.10539598271185
INVERMAY PARK,VIC1230,-37.53150969200001,143.86219646479998
CORACK EAST,VIC634,-36.15188527064516,143.05722312967745
CADELLO,VIC440,-37.301055827999996,144.52888123200003
LANGLEY,VIC1459,-37.15140505542525,144.48718502856295
BILLABONG,VIC239,-37.25810386018275,146.84214951112617
HOWITT PLAINS,VIC1202,-37.19044028255428,146.67137535210432
YANGOURA,VIC2906,-37.75596920281483,146.56356133881482
MONTROSE,VIC1730,-37.81794899481846,145.342927102178
YELLINGBO,VIC2926,-37.83975252026192,145.52242208181698
MOOROOLBARK,VIC1749,-37.778304499511286,145.3082636771052
SEVILLE EAST,VIC2268,-37.78231444250146,145.51202346399103
WOORI YALLOCK,VIC2858,-37.77835554935377,145.51484385237694
SOUTHERN CROSS,VIC2320,-38.29975085408797,142.405376657154
MOGGS CREEK,VIC1712,-38.4654502601389,144.06587995506945
HIGHETT,VIC1177,-37.95099584575051,145.03448353120504
RINGWOOD NORTH,VIC2173,-37.786637273965546,145.23183445247128
MONTGOMERY,VIC1728,-38.04614331448276,147.06721541051726
DOCKLANDS,VIC761,-37.8193346203846,144.93971233777785
MARIBYRNONG,VIC1598,-37.77010884693939,144.88916350906052
CAMPBELLFIELD,VIC455,-37.67410505329241,144.9703464424665
ROCKY POINT,VIC2190,-37.33464096199999,142.85946778142855
LEIGH CREEK,VIC1480,-37.55555590537499,143.95651916000003
NUTFIELD,VIC1987,-37.599885868090915,145.18991250700006
PAYNESVILLE,VIC2045,-37.909125794660056,147.7241472043853
ANGLESEA,VIC45,-38.41757740979263,144.1800797112533
DUMOSA,VIC801,-35.9420426066265,143.16934627048195
MIGA LAKE,VIC1674,-36.842658482929295,141.66971034575758
NORADJUHA,VIC1955,-36.840719181702134,141.87690239382977
KALPIENUNG,VIC1283,-35.85508149125562,143.2351054191255
TALLAROOK,VIC2431,-37.09440981250132,145.08271998071078
MARIONVALE,VIC1599,-36.25801336250001,145.52963382722226
GLENORCHY,VIC1031,-36.88429558011859,142.58774334881423
SAILORS HILL,VIC2227,-37.356589059655164,144.12798577413795
MONT ALBERT,VIC1726,-37.820824575263885,145.10416438407663
CLIFTON HILL,VIC572,-37.79253582013117,144.99967852033527
COLBROOK,VIC609,-37.529618019767824,144.21358432139314
THE PATCH,VIC2504,-37.891946856499985,145.40097757849995
BAMAWM,VIC124,-36.26444029333334,144.62733133020834
RIPPLESIDE,VIC2175,-38.12477968065327,144.3582688686432
NOBLE PARK NORTH,VIC1949,-37.94813646018961,145.19137528478674
CHEWTON BUSHLANDS,VIC546,-37.076918014769234,144.29168070600002
GEELONG,VIC963,-38.13959632926505,144.3580959724722
CAULFIELD SOUTH,VIC523,-37.89489497535714,145.0233040475
RICHMOND,VIC2167,-37.82517583879808,145.00711541581725
TORWOOD,VIC2557,-38.26482045085713,145.8762586397143
MORDIALLOC,VIC1754,-38.006415097161806,145.09323305313652
GLADSTONE PARK,VIC994,-37.68868799902257,144.89616716142848
PANTON HILL,VIC2028,-37.6441580010909,145.245190811
KILLARA,VIC2965,-36.14084579394735,146.95602397337723
NOTTING HILL,VIC1970,-37.904187377419355,145.14534347677417
CORAL BANK,VIC636,-36.602989269889136,147.10376384097566
BARNADOWN,VIC144,-36.653884834666734,144.536293992307
CAULFIELD,VIC520,-37.88333930125,145.02738113166666
EUMEMMERRING,VIC880,-37.99541615267209,145.2452081271558
CHILTERN,VIC549,-36.1900967651563,146.6095205227813
GOLDEN GULLY,VIC1045,-36.79162954851352,144.26682485797292
WARRAGUL WEST,VIC2704,-38.16759016090909,145.87841454072728
PARADISE BEACH,VIC2030,-38.19121969124556,147.41931440138794
BLACK ROCK,VIC251,-37.97549306844185,145.01825400449982
NORTH GEELONG,VIC1961,-38.109258506014,144.3457803683386
MAIDSTONE,VIC1570,-37.776604465858576,144.8705225872727
BREAKWATER,VIC325,-38.17117275120898,144.37103536621757
WEERING,VIC2741,-38.110864510125005,143.69121364575003
FAIRHAVEN,VIC893,-38.4610776123077,144.0899412961111
GERMANTOWN,VIC977,-36.726531985427144,147.07755496839198
EMU CREEK,VIC863,-36.85495194170731,144.3474418180488
BIRREGURRA,VIC247,-38.351784073375356,143.82167438389348
EASTERN VIEW,VIC829,-38.475514850152095,144.03944223840307
BRAYBROOK,VIC323,-37.78271161696682,144.8523844338389
WARRANDYTE SOUTH,VIC2707,-37.7548820671677,145.25377039668803
MONOMEITH,VIC1725,-38.209537044405025,145.5150624143843
THORPDALE,VIC2513,-38.30081587845829,146.16623317779175
DRYSDALE,VIC797,-38.168528642583745,144.577035060335
ABERFELDY,VIC4,-37.703202006629674,146.38641596537036
NAREEWILLOCK,VIC1879,-36.148508429677435,143.44234296177424
ST KILDA EAST,VIC2347,-37.864614903829775,144.99742558702127
ST ALBANS PARK,VIC2336,-38.20240178970928,144.38752016720935
NEWLANDS ARM,VIC1926,-37.92977922602802,147.70086839799066
OAKLEIGH EAST,VIC1997,-37.89984710084746,145.110569958983
